Marché;CAC;;;;;;;;;;;
TECH;;1;;;;;;;;;;
iShares ST E 600 Technol Dis (XETR:EXV3);DASSAULT SYSTEMES SE (XPAR:DSY);;;;;;;;;;;
Clôture;Date;Clôture;Ouverture;Plus haut;Plus bas;Volume;Taux de Variation Mensuelle;Taux de Variation Trimestrielle;Taux de Variation Annuelle;Taux de variation du marché;Variance de la rentabilité du marché;Covarience Actif marché
 € 42,51 ;01/11/2017; € 17,82 ; € 18,32 ; € 18,47 ; € 17,59 ;6 611 096;-0,005150034;;;-0,025776418;2,65228E-05;0,000132749
 € 42,09 ;01/12/2017; € 17,75 ; € 18,06 ; € 18,13 ; € 17,66 ;5 152 838;-0,004049044;Trimestre 3;;-0,00992916;1,63948E-05;4,02036E-05
 € 43,14 ;01/01/2018; € 18,58 ; € 17,78 ; € 19,04 ; € 17,50 ;6 006 684;0,045710287;0,03718593;;0,02452455;0,00208943;0,001121024
 € 42,72 ;01/02/2018; € 21,25 ; € 18,80 ; € 21,25 ; € 18,80 ;8 703 879;0,13448647;;;-0,009784586;0,018086611;-0,001315894
 € 41,20 ;01/03/2018; € 22,08 ; € 21,17 ; € 22,60 ; € 20,36 ;6 658 650;0,038315326;Trimestre 4;;-0,03611189;0,001468064;-0,001383639
 € 43,07 ;01/04/2018; € 21,45 ; € 21,93 ; € 22,52 ; € 20,72 ;6 069 722;-0,028947576;0,154715762;;0,044388443;0,000837962;-0,001284938
 € 45,24 ;01/05/2018; € 24,03 ; € 21,62 ; € 24,05 ; € 21,29 ;6 670 185;0,113578404;;;0,049044424;0,012900054;0,005570387
 € 45,38 ;01/06/2018; € 24,00 ; € 24,17 ; € 25,50 ; € 23,71 ;7 030 692;-0,001249219;Trimestre 1;;0,003255445;1,56055E-06;-4,06676E-06
 € 45,70 ;01/07/2018; € 25,56 ; € 23,89 ; € 26,34 ; € 23,55 ;6 349 525;0,062974799;0,191608392;Anné 8;0,006862315;0,003965825;0,000432153
 € 46,15 ;01/08/2018; € 27,92 ; € 25,54 ; € 28,04 ; € 25,32 ;5 059 233;0,088314648;;0,70764526;0,009908078;0,007799477;0,000875028
 € 44,81 ;01/09/2018; € 25,75 ; € 27,86 ; € 28,20 ; € 25,27 ;9 397 466;-0,080908651;Trimestre 2;;-0,029465632;0,00654621;0,002384025
 € 40,77 ;01/10/2018; € 22,17 ; € 25,73 ; € 25,98 ; € 20,89 ;11 466 481;-0,149694603;-0,132629108;;-0,094607459;0,022408474;0,014162226
 € 39,64 ;01/11/2018; € 21,20 ; € 22,11 ; € 22,51 ; € 20,06 ;9 997 459;-0,044738842;;;-0,027985161;0,002001564;0,001252024
 € 37,48 ;01/12/2018; € 20,74 ; € 21,62 ; € 22,42 ; € 19,66 ;7 516 908;-0,021936979;Trimestre 3;;-0,056031252;0,000481231;0,001229156
 € 40,27 ;01/01/2019; € 21,91 ; € 20,56 ; € 22,43 ; € 19,20 ;7 828 788;0,054878951;-0,01172756;;0,071799317;0,003011699;0,003940271
 € 42,52 ;01/02/2019; € 25,73 ; € 21,99 ; € 25,99 ; € 21,75 ;6 420 251;0,160714473;;;0,054367779;0,025829142;0,008737689
 € 44,04 ;01/03/2019; € 26,55 ; € 25,75 ; € 26,66 ; € 25,43 ;5 752 131;0,031372121;Trimestre 4;;0,035123758;0,00098421;0,001101907
 € 47,37 ;01/04/2019; € 28,21 ; € 26,49 ; € 28,61 ; € 26,34 ;5 199 199;0,060646777;0,287539936;;0,072785247;0,003678032;0,004414191
 € 44,60 ;01/05/2019; € 26,57 ; € 28,00 ; € 28,28 ; € 26,20 ;6 810 344;-0,059893765;;;-0,060261814;0,003587263;0,003609307
 € 47,30 ;01/06/2019; € 28,06 ; € 26,45 ; € 28,67 ; € 25,41 ;6 198 381;0,054562315;Trimestre 1;;0,05888855;0,002977046;0,003213096
 € 47,01 ;01/07/2019; € 27,60 ; € 28,65 ; € 29,44 ; € 26,66 ;6 813 995;-0,016529302;-0,021623538;;-0,006256316;0,000273218;0,000103413
 € 45,01 ;01/08/2019; € 25,63 ; € 27,29 ; € 27,89 ; € 24,70 ;7 396 572;-0,074052232;;Anné 9;-0,043369292;0,005483733;0,003211593
 € 46,40 ;01/09/2019; € 26,15 ; € 25,69 ; € 26,62 ; € 24,36 ;7 383 534;0,02008565;Trimestre 2;0,015533981;0,030307008;0,000403433;0,000608736
 € 47,53 ;01/10/2019; € 27,21 ; € 26,26 ; € 28,33 ; € 25,08 ;8 757 747;0,039735362;-0,014130435;;0,024064194;0,001578899;0,000956199
